repo_id,repo_url,commit_sha,declared_java_versions,effective_java_runtime,qualified_build_scopes,unique_eligible_buildable_count,order_index,repo_order_hash,repository_storage_path,promotion_status,promotion_detail
9619226,https://github.com/3pillarlabs/spring-data-simpledb,f1e0eb4e48ec4674d3966e8f5bc04c95031f93ae,6,8,maven:spring-data-simpledb-impl,12,70,0f7f08c366f8eea0da06b2eb859ec4375fd040c86f091889de36b87a6a0c4abd,repos/successful/9619226,promoted_before_storage_audit,
78444970,https://github.com/voho/web,837c9c673caac60d2d8de1647e9d3e08acd70d9a,8,8,maven:examples/graph;maven:examples/structures;maven:examples/random,13,77,107fd696855b24fe82eb4a5e76a549836099068dab381fd4f87200d8a0a6e1a1,repos/successful/78444970,promoted_before_storage_audit,
61565876,https://github.com/ljacqu/DependencyInjector,eecb0f51c3f2ae9936c9ff64f486953eb3e48b3d,8,8,maven:injector,13,84,13713c8619e91f63435ad5f8363ec26f5f6bf2dd3152fbd983f715ad1abb48a4,repos/successful/61565876,promoted_before_storage_audit,
46396068,https://github.com/kakao/hbase-tools,233e9ab0a4a31da9f5387fbb453db6d5799c072d,8,8,maven:hbase0.98/hbase-manager-0.98;maven:hbase0.98/hbase-common-0.98;maven:hbase0.98/hbase-table-stat-0.98;maven:hbase0.98/hbase-snapshot-0.98,12,85,137b016d73cc1a8f515cca1c3261770421f478040a354782c977d38d01cc8b5f,repos/successful/46396068,promoted_before_storage_audit,
48046454,https://github.com/hazelcast/hazelcast-jet,60c713a718df89fdccedbf34aadcdcb953ae92a6,8,8,maven:hazelcast-jet-core,39,86,13b2eb7b23b922cf712afb7c70c15d130fa1cfc82ce06c96b2b8723165bfa663,repos/successful/48046454,promoted,
43105609,https://github.com/borball/weixin-sdk,ed624144fda218f7f85915de26012fa15940c87c,unknown,8,maven:weixin-mp,15,90,142868e65f676a0aa4a2ad8b60f0932b0897c209e265195b65f3e67ceb971e70,repos/successful/43105609,promoted,
66303306,https://github.com/bazaarvoice/emodb,8184514eb831eb9f874718741ab701d2d02a638c,unknown,8,maven:event;maven:web,14,92,1439edb5e5c2b625f229a2eaff5cc9cd6219057eefce94aa38bedea4795623f4,repos/successful/66303306,promoted,
6944525,https://github.com/linkedin/rest.li,8173ce2d3eb0a997f0c24df136134486fb4c3cd3,8,8,gradle:d2,30,94,1468f48d6063422b6f8519b5fb448e0222d623098d2851490e7af9449f0f222d,repos/successful/6944525,promoted,
6293402,https://github.com/vaadin/framework,02c87d4918204dfc354c71bdecc395e605c20d8e,8,8,maven:server,29,95,146ba5ac1219387119921613d908301a96c7f9f174c882a9c276e9f4d1410542,repos/successful/6293402,promoted,
49384652,https://github.com/xiaolongzuo/niubi-job,ed21d5b80f8b16c8b3a0b2fbc688442b878edbe4,8,8,maven:niubi-job-framework/niubi-job-service;maven:niubi-job-framework/niubi-job-core,13,96,14c03e2dd220f66ad161c49b3e22fcd73efc566c32beecd86d2c4215d8f1f402,repos/successful/49384652,promoted,
6437134,https://github.com/dma-enav/e-Navigation,42840b63789a8dee0fa330efb44678417e08d127,unknown,8,maven:enav-model;maven:enav-serialization;maven:enav-util,12,97,14c1931b6978365d6ad4de0b078f9154f3e7c4685780f96c9eac4f25721cb4c3,repos/successful/6437134,promoted,
