repo_id,repo_url,commit_sha,class_key,focal_class,focal_path,mapping_count,source_json_files,exact_path_exists,metric_status,metric_error,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,is_interface,is_enum,is_generated,is_test_source,eligible_for_sampling,exclusion_reason,build_tool,build_root,module_dir,module_selector,scope_key,declared_java_version,java_version_source,effective_java_runtime,build_scope_pass,build_recipe,repository_storage_path,promotion_status
41547678,https://github.com/ftomassetti/turin-programming-language,ae4aa23f92727a28479c99c3fd79b6c6d73fdd20,41547678:turin-compiler/src/main/java/me/tomassetti/turin/parser/parsetreetoast.java,ParseTreeToAst,turin-compiler/src/main/java/me/tomassetti/turin/parser/ParseTreeToAst.java,3,41547678_17.json;41547678_18.json;41547678_19.json,true,success,,709,6809,70,1,17,191,2.7285714285714286,false,false,false,false,false,nloc_out_of_bounds,maven,.,turin-compiler,turin-compiler,maven:turin-compiler,,,,false,,repos/successful/41547678,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/agent/event/events.java,Events,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/agent/event/Events.java,11,44308560_176.json;44308560_177.json;44308560_178.json;44308560_179.json;44308560_180.json;44308560_181.json;44308560_182.json;44308560_183.json;44308560_184.json;44308560_185.json;44308560_186.json,true,success,,37,365,5,0,5,9,1.8,false,false,false,false,false,no_public_non_constructor_method,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/callchecker.java,CallChecker,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/CallChecker.java,6,44308560_305.json;44308560_306.json;44308560_307.json;44308560_308.json;44308560_309.json;44308560_310.json,true,success,,35,387,3,0,3,5,1.6666666666666667,false,false,false,false,false,no_public_non_constructor_method,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/commoncontextstransitions.java,CommonContextsTransitions,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/CommonContextsTransitions.java,2,44308560_300.json;44308560_301.json,true,success,,150,1541,5,0,10,32,6.4,false,false,false,false,false,no_public_non_constructor_method,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/executablescompiler.java,ExecutablesCompiler,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/ExecutablesCompiler.java,4,44308560_273.json;44308560_274.json;44308560_275.json;44308560_276.json,true,success,,37,352,1,0,8,8,8.0,false,false,false,false,false,no_public_non_constructor_method,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/executablewithdescriptor.java,ExecutableWithDescriptor,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/ExecutableWithDescriptor.java,13,44308560_311.json;44308560_312.json;44308560_313.json;44308560_314.json;44308560_315.json;44308560_316.json;44308560_317.json;44308560_318.json;44308560_319.json;44308560_320.json;44308560_321.json;44308560_322.json;44308560_323.json,true,success,,65,565,11,0,3,16,1.4545454545454546,false,false,false,false,false,no_public_non_constructor_method,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/forloop.java,ForLoop,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/contexts/ForLoop.java,4,44308560_277.json;44308560_278.json;44308560_279.json;44308560_280.json,true,success,,26,214,5,0,1,5,1.0,false,false,false,false,false,no_public_non_constructor_method,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/runcommandlinecallbuilder.java,RunCommandLineCallBuilder,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/RunCommandLineCallBuilder.java,32,44308560_202.json;44308560_203.json;44308560_204.json;44308560_205.json;44308560_206.json;44308560_207.json;44308560_208.json;44308560_209.json;44308560_210.json;44308560_211.json;44308560_212.json;44308560_213.json;44308560_214.json;44308560_215.json;44308560_216.json;44308560_217.json;44308560_218.json;44308560_219.json;44308560_220.json;44308560_221.json;44308560_222.json;44308560_223.json;44308560_224.json;44308560_225.json;44308560_226.json;44308560_227.json;44308560_228.json;44308560_229.json;44308560_230.json;44308560_231.json;44308560_232.json;44308560_233.json,true,success,,279,2029,28,17,7,51,1.8214285714285714,false,false,true,false,false,is_generated_code,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/robotagenteventdispatcher.java,RobotAgentEventDispatcher,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/server/RobotAgentEventDispatcher.java,22,44308560_349.json;44308560_350.json;44308560_351.json;44308560_352.json;44308560_353.json;44308560_354.json;44308560_355.json;44308560_356.json;44308560_357.json;44308560_358.json;44308560_359.json;44308560_360.json;44308560_361.json;44308560_362.json;44308560_363.json;44308560_364.json;44308560_365.json;44308560_366.json;44308560_367.json;44308560_368.json;44308560_369.json;44308560_370.json,true,success,,285,1881,28,0,27,82,2.9285714285714284,false,false,false,false,false,no_public_non_constructor_method,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
44308560,https://github.com/nokia/RED,ea24ca129c9983f89ace3072fa06dec9292fd945,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/project/robotprojectconfig.java,RobotProjectConfig,src/RobotFrameworkCore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/project/RobotProjectConfig.java,17,44308560_46.json;44308560_47.json;44308560_48.json;44308560_49.json;44308560_50.json;44308560_51.json;44308560_52.json;44308560_53.json;44308560_54.json;44308560_55.json;44308560_56.json;44308560_57.json;44308560_58.json;44308560_59.json;44308560_60.json;44308560_61.json;44308560_62.json,true,success,,827,5175,138,132,8,214,1.5507246376811594,false,false,false,false,false,nloc_out_of_bounds,maven,src/RobotFrameworkCore/org.robotframework.ide.core-functions,src/RobotFrameworkCore/org.robotframework.ide.core-functions,.,maven:src/RobotFrameworkCore/org.robotframework.ide.core-functions,,,,false,,repos/successful/44308560,promoted_before_storage_audit
